,image.value,itemLabel.value,lat.value,lon.value
33,http://commons.wikimedia.org/wiki/Special:FilePath/Twierdza%20Torun%20Fort%20IX%202011.jpg,Fort IX Twierdzy Toruń,53.0157,18.5585
34,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20VII%20Toru%C5%84.JPG,Fort VII Twierdzy Toruń,53.035,18.5644
35,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20%28DerHexer%29%202010-07-17%20039.jpg,Kościół Wniebowzięcia Najświętszej Marii Panny w Toruniu,53.011,18.60241
36,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20%28DerHexer%29%202010-07-17%20038.jpg,"Kościół Świętego Ducha, Różana 2 w Toruniu",53.010111,18.603111
37,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20Chrystusa%20Krola%201.jpg,Kościół Chrystusa Króla w Toruniu,53.0219,18.6172
38,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20kosciol%20MB%20Zwyc%20od%20wsch.jpg,Kościół Matki Boskiej Zwycięskiej w Toruniu,53.0224,18.6096
39,http://commons.wikimedia.org/wiki/Special:FilePath/Kosciol%20sw.%20Jakuba%20w%20Toruniu.jpg,Kościół św. Jakuba w Toruniu,53.0119,18.6126
40,http://commons.wikimedia.org/wiki/Special:FilePath/Torun01CenterWithWall%20level%20corr.jpg,Mury miejskie w Toruniu,53.008055555,18.606388888
41,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20Muzeum%20Podroznikow%20Franciszkanska.jpg,Muzeum Podróżników im. Tony Halika,53.011528,18.603139
42,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20kosciol%20sw%20Katarzyny%20%281%29.jpg,Kościół św. Katarzyny w Toruniu,53.0129,18.6134
43,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20pa%C5%82ac%20Meissnera%28WLZ12%29.jpg,Pałac Meissnerów w Toruniu,53.01,18.6042
44,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20kosciol%20sw%20Szczepana%2001.jpg,Kościół św. Szczepana w Toruniu,53.013056,18.606111
45,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20kosciol%20sw%20Szczepana%2001.jpg,Kościół św. Szczepana w Toruniu,53.0131,18.6062
46,http://commons.wikimedia.org/wiki/Special:FilePath/Rektorat%20UMK%20w%20Toruniu2018.jpg,Miasteczko akademickie w Toruniu,53.019667,18.572333
